09/06/12,juxtaposition,n, the act of placing two things next to each other for implicit comparison,The interior designer admired my juxtaposition of the yellow couch and green table
09/07/12,arrogate,v, to take without justification,The king arrogated the right to order executions to himself exclusively
09/10/12,imperious,adj," commanding, domineering",The imperious nature of your manner led me to dislike you at once
09/11/12,umbrage,n," resentment, offense","He called me a lily-livered coward, and I took umbrage at the insult"
09/12/12,cogent,adj, intellectually convincing,Irene’s arguments in favor of abstinence were so cogent that I could not resist them
09/13/12,impudent,adj," casually rude, insolent, impertinent",The impudent young man looked the princess up and down and told her she was hot even though she hadn’t asked him
09/14/12,inure,v, to cause someone or something to become accustomed to a situation,Twenty years in the salt mines inured the man to the discomforts of dirt and grime
09/19/12,largess,n, the generous giving of lavish gifts,My boss demonstrated great largess by giving me a new car
09/20/12,rescind,v," to take back, repeal",The company rescinded its offer of employment after discovering that Jane’s resume was full of lies
09/21/12,eschew,v," to shun, avoid",George hates the color green so much that he eschews all green food
09/24/12,pathos,n, an emotion of sympathy,"Martha filled with pathos upon discovering the scrawny, shivering kitten at her door"
09/25/12,torpid,adj," lethargic, dormant, lacking motion","The torpid whale floated, wallowing in the water for hours"
09/27/12,effrontery,n," impudence, nerve, insolence","When I told my aunt that she was boring, my mother scolded me for my effrontery"
09/28/12,myriad,adj, consisting of a very great number,It was difficult to decide what to do Friday night because the city presented us with myriad possibilities for fun
10/01/12,proclivity,n, a strong inclination toward something,"In a sick twist of fate, Harold’s childhood proclivity for torturing small animals grew into a desire to become a surgeon"
10/02/12,prosaic,adj," plain, lacking liveliness",Heather’s prosaic recital of the poem bored the audience
10/03/12,promulgate,v," to proclaim, make known","The film professor promulgated that both in terms of sex appeal and political intrigue, Sean Connery’s James Bond was superior to Roger Moore’s"
10/04/12,alacrity,n," eagerness, speed","For some reason, Chuck loved to help his mother whenever he could, so when his mother asked him to set the table, he did so with alacrity"
10/05/12,querulous,adj," whiny, complaining","If deprived of his pacifier, young Brendan becomes querulous"
10/09/12,conflagration,n, great fire,The conflagration consumed the entire building
10/10/12,dissemble,v," to conceal, fake","Not wanting to appear heartlessly greedy, she dissembled and hid her intention to sell her ailing father’s stamp collection"
10/11/12,vicarious,adj, experiencing through another,All of my lame friends learned to be social through vicarious involvement in my amazing experiences
10/12/12,pugnacious,adj," quarrelsome, combative",Aaron’s pugnacious nature led him to start several barroom brawls each month
10/15/12,iniquity,n, wickedness or sin,"“Your iniquity,” said the priest to the practical jokester, “will be forgiven"
10/16/12,limpid,adj," clear, transparent",Mr. Johnson’s limpid writing style greatly pleased readers who disliked complicated novels
10/17/12,ephemeral,adj," short-lived, fleeting","She promised she’d love me forever, but her “forever” was only ephemeral: she left me after one week"
10/18/12,contrite,adj," penitent, eager to be forgiven",Blake’s contrite behavior made it impossible to stay angry at him
10/19/12,ebullient,adj," extremely lively, enthusiastic",She became ebullient upon receiving an acceptance letter from her first-choice college
10/22/12,probity,n," virtue, integrity","Because he was never viewed as a man of great probity, no one was surprised by Mr. Samson’s immoral behavior"
10/23/12,expiate,v," to make amends for, atone","To expiate my selfishness, I gave all my profits to charity"
10/24/12,wizened,adj," dry, shrunken, wrinkled","Agatha’s grandmother, Stephanie, had the most wizened countenance, full of leathery wrinkles"
10/25/12,mendacious,adj," having a lying, false character",The mendacious content of the tabloid magazines is at least entertaining
10/26/12,obtuse,adj, lacking quickness of sensibility or intellect,Political opponents warned that the prime minister’s obtuse approach to foreign policy would embroil the nation in mindless war
10/29/12,mawkish,adj, characterized by sick sentimentality,"Although some nineteenth- century critics viewed Dickens’s writing as mawkish, contemporary readers have found great emotional depth in his works"
10/30/12,invective,n, an angry verbal attack,My mother’s irrational invective against the way I dress only made me decide to dye my hair green
10/31/12,venerate,v, to regard with respect or to honor,"The tribute to John Lennon sought to venerate his music, his words, and his legend"
11/01/12,inchoate,adj," unformed or formless, in a beginning stage","The country’s government is still inchoate and, because it has no great tradition, quite unstable"
11/02/12,diffident,adj," shy, quiet, modest","While eating dinner with the adults, the diffident youth did not speak for fear of seeming presumptuous"
11/05/12,brusque,adj," short, abrupt, dismissive",The captain’s brusque manner offended the passengers
11/07/12,obdurate,adj, unyielding to persuasion or moral influences,The obdurate old man refused to take pity on the kittens
11/08/12,truculent,adj," ready to fight, cruel","This club doesn’t really attract the dangerous types, so why was that bouncer being so truculent?)"
11/09/12,proscribe,v," to condemn, outlaw",The town council voted to proscribe the sale of alcohol on weekends
11/13/12,maudlin,adj, weakly sentimental,"Although many people enjoy romantic comedies, I usually find them maudlin and shallow"
11/14/12,precocious,adj," advanced, developing ahead of time","Derek was so academically precocious that by the time he was 10 years old, he was already in the ninth grade"
11/15/12,latent,adj," hidden, but capable of being exposed",Sigmund’s dream represented his latent paranoid obsession with other people’s shoes
11/16/12,reprove,v," to scold, rebuke",Lara reproved her son for sticking each and every one of his fingers into the strawberry pie
11/19/12,ostensible,adj," appearing as such, seemingly","Jack’s ostensible reason for driving was that airfare was too expensive, but in reality, he was afraid of flying"
11/20/12,pariah,n, an outcast,"Following the discovery of his plagiarism, Professor Hurley was made a pariah in all academic circles"
11/21/12,propensity,n," an inclination, preference",Dermit has a propensity for dangerous activities such as bungee jumping
11/26/12,transient,adj, passing through briefly; passing into and out of existence,"Because virtually everyone in Palm Beach is a tourist, the population of the town is quite transient"
11/27/12,zenith,n," the highest point, culminating point",I was too nice to tell Nelly that she had reached the absolute zenith of her career with that one hit of hers
11/28/12,grandiloquence,n," lofty, pompous language","The student thought her grandiloquence would make her sound smart, but neither the class nor the teacher bought it"
11/29/12,ubiquitous,adj," existing everywhere, widespread",It seems that everyone in the United States has the ubiquitous technology of television
11/30/12,ineffable,adj," unspeakable, incapable of being expressed through words",It is said that the experience of playing with a dolphin is ineffable and can only be understood through direct encounter
12/03/12,rectitude,n," uprightness, extreme morality",The priest’s rectitude gave him the moral authority to counsel his parishioners
12/04/12,nascent,adj, in the process of being born or coming into existence,"Unfortunately, my brilliant paper was only in its nascent form on the morning that it was due"
12/05/12,clemency,n, mercy,"After he forgot their anniversary, Martin could only beg Maria for clemency"
12/06/12,fastidious,adj," meticulous, demanding, having high and often unattainable standards",Mark is so fastidious that he is never able to finish a project because it always seems imperfect to him
12/07/12,conundrum,n," puzzle, problem",Interpreting Jane’s behavior was a constant conundrum
12/10/12,undulate,v, to move in waves,"As the storm began to brew, the placid ocean began to undulate to an increasing degree"
12/11/12,fatuous,adj," silly, foolish","He considers himself a serious poet, but in truth, he only writes fatuous limericks"
12/12/12,malevolent,adj, wanting harm to befall others,"The malevolent old man sat in the park all day, tripping unsuspecting passersby with his cane"
12/13/12,palliate,v, to reduce the severity of,The doctor trusted that the new medication would palliate her patient’s discomfort
12/14/12,sanguine,adj," optimistic, cheery","Polly reacted to any bad news with a sanguine smile and the chirpy cry, “When life hands you lemons, make lemonade!”)"
12/17/12,ribald,adj," coarsely, crudely humorous","While some giggled at the ribald joke involving a parson’s daughter, most sighed and rolled their eyes"
12/18/12,fallacious,adj," incorrect, misleading",Emily offered me cigarettes on the fallacious assumption that I smoked
12/19/12,hapless,adj, unlucky,"My poor, hapless family never seems to pick a sunny week to go on vacation"
12/20/12,veracity,n," truthfulness, accuracy","With several agencies regulating the reports, it was difficult for Latifah to argue against its veracity"
12/21/12,abjure,v," to reject, renounce","To prove his honesty, the president abjured the evil policies of his wicked predecessor"
01/02/13,replete,adj," full, abundant",The unedited version was replete with naughty words
01/03/13,approbation,n, praise,The crowd welcomed the heroes with approbation
01/04/13,acerbic,adj," biting, bitter in tone or taste",Jill became extremely acerbic and began to cruelly make fun of all her friends
01/07/13,acrimony,n," bitterness, discord","Though they vowed that no girl would ever come between them, Biff and Trevor could not keep acrimony from overwhelming their friendship after they both fell in love with the lovely Teresa"
01/08/13,viscous,adj," not free flowing, syrupy",The viscous syrup took three minutes to pour out of the bottle
01/09/13,licentious,adj, displaying a lack of moral or legal restraints,Marilee has always been fascinated by the licentious private lives of politicians
01/10/13,deride,v," to laugh at mockingly, scorn",The bullies derided the foreign student’s accent
01/11/13,propitious,adj, favorable,The dark storm clouds visible on the horizon suggested that the weather would not be propitious for sailing
01/14/13,hegemony,n, domination over others,Britain’s hegemony over its colonies was threatened once nationalist sentiment began to spread around the world
01/15/13,surreptitious,adj, stealthy,The surreptitious CIA agents were able to get in and out of the house without anyone noticing
01/16/13,odious,adj, instilling hatred or intense displeasure,Mark was assigned the odious task of cleaning the cat’s litter box
01/17/13,winsome,adj," charming, pleasing","After such a long, frustrating day, I was grateful for Chris’s winsome attitude and childish naivete"
01/18/13,hackneyed,adj," unoriginal, trite",A girl can only hear “I love you” so many times before it begins to sound hackneyed and meaningless
01/22/13,credulity,n, readiness to believe,His credulity made him an easy target for con men
01/23/13,surmise,v, to infer with little evidence,"After speaking to only one of the students, the teacher was able to surmise what had caused the fight"
01/24/13,laconic,adj, terse in speech or writing,The author’s laconic style has won him many followers who dislike wordiness
01/25/13,pejorative,adj," derogatory, uncomplimentary",The evening’s headline news covered an international scandal caused by a pejorative statement the famous senator had made in reference to a foreign leader
01/28/13,punctilious,adj, eager to follow rules or conventions,"Punctilious Bobby, hall monitor extraordinaire, insisted that his peers follow the rules"
01/29/13,rebuke,v," to scold, criticize","When the cops showed up at Sarah’s party, they rebuked her for disturbing the peace"
01/30/13,vitriolic,adj, having a caustic quality,"When angry, the woman would spew vitriolic insults"
01/31/13,diaphanous,adj," light, airy, transparent","Sunlight poured in through the diaphanous curtains, brightening the room"
02/01/13,ignominious,adj," humiliating, disgracing",It was really ignominious to be kicked out of the dorm for having an illegal gas stove in my room
02/04/13,vituperate,v, to berate,"Jack ran away as soon as his father found out, knowing he would be vituperated for his unseemly behavior"
02/05/13,temerity,n," audacity, recklessness",Tom and Huck entered the scary cave armed with nothing but their own temerity
02/06/13,pertinacious,adj," shrewdness, perceptiveness",Harry’s parents were frustrated with his pertinacious insistence that a monster lived in his closet
02/07/13,pallid,adj, lacking color,Dr. Van Helsing feared that Lucy’s pallid complexion was due to an unexplained loss of blood
02/08/13,extant,adj," existing, not destroyed or lost",My mother’s extant love letters to my father are in the attic trunk
02/11/13,opulent,adj, characterized by rich abundance verging on ostentation,The opulent furnishings of the dictator’s private compound contrasted harshly with the meager accommodations of her subjects
02/12/13,turgid,adj," swollen, excessively embellished in style or language",The haughty writer did not realize how we all really felt about his turgid prose
